code,description,stored_spiff,live_bonus,status,active
AC-13,13 Whole Home Air Filtration,75.0,45.0,drifted,True
AC-34,Moen Flo Water Protection,100.0,50.0,drifted,True
AC-34-A,Moen Smart Water Sensor Qty1,10.0,50.0,drifted,True
AC-36,Slow Close Toilet Seat,25.0,25.0,match,True
AC-37,Laundry Pro,100.0,50.0,drifted,True
AC-45,Smart Hot Water Circulator,75.0,50.0,drifted,True
AC-46,Washing Machine Hose Upgrade,25.0,50.0,drifted,True
AC-47,Washing Machine Box Upgrade,75.0,50.0,drifted,True
AC-48,Carbon Monoxide Detector,25.0,25.0,match,True
AC-49,Water Shut-off Upgrade (kitchen/lavatory),10.0,50.0,drifted,True
AC-50-A,Water Booster System (Pex),175.0,50.0,drifted,True
AC-50-B,Water Booster System (Copper),200.0,50.0,drifted,True
AC-51,Halo Whole Home Filtration/Conditioner,300.0,50.0,drifted,True
AC-52,Halo RO System,100.0,50.0,drifted,True
AC-53,Water Quality Bundle,400.0,50.0,drifted,True
AC-54,Ion6 Halo,75.0,50.0,drifted,True
AC-COM-ICE,Ice Machine Sanitizer/Purifier,100.0,100.0,match,True
AC-COM-ICE-LTD1,BiPolar Ice BPI200-110 (limited quantity while supplies last),50.0,50.0,match,True
AC-COM-ICE-LTD2,RGF IMS-B-GA (limited quantity while supplies last),100.0,100.0,match,True
AC-COM-ION,COMMERCIAL IONIZING AIR PURIFIER,200.0,200.0,match,True
AC-FSWH,WATER HEATER LEAK PROTECTION - FLOOD STOP,50.0,50.0,match,True
AC-ION,Orion Ionizing Purifier - Residential,100.0,0.0,LIVE=0 (would zero out real spiff),True
AC-MDC,HEAVY DUTY DOOR CLOSER,50.0,50.0,match,True
ACC-16,16 DustFree Lamp Change,5.0,5.0,match,True
ACC-17,17 DustFree Core,15.0,15.0,match,True
ACC-18,18 BluQR Bulb Replacement,10.0,5.0,drifted,True
ACC-192,192 AprilAire Merv 13 Filter,5.0,5.0,match,True
ACC-35,Clean Effects Installation (new or replacement),200.0,200.0,match,True
ACC-36,Powered Anode Rod,25.0,0.0,LIVE=0 (would zero out real spiff),True
ACI-13,13 Whole Home Air Filtration,100.0,45.0,drifted,True
ACI-48,Carbon Monoxide Detector,25.0,25.0,match,True
BM-NEW-1,Basic Membership - 1 System,10.0,10.0,match,True
BM-NEW-2,Basic Membership - 2 Systems,15.0,15.0,match,True
BM-NEW-3,Basic Membership - 3 Systems,20.0,20.0,match,True
BM-NEW-4,Basic Membership - 4 Systems,25.0,25.0,match,True
BM-NEW-5,Basic Membership - 5 Systems,30.0,30.0,match,True
BM-NEW-6,Basic Membership - 6 Systems,35.0,35.0,match,True
BM-RENEWAL-1,Basic Membership Renewal - 1 System,5.0,5.0,match,True
